Broker    Stock          Value     Changes   Date and Time
Broker 2  Commodity      551       6         2/28/2021 9:45:59 PM
Broker 4  Commodity      551       6         2/28/2021 9:45:59 PM
Broker 2  Banking        101       7         2/28/2021 9:45:59 PM
Broker 3  Banking        101       7         2/28/2021 9:45:59 PM
Broker 4  Banking        101       7         2/28/2021 9:45:59 PM
Broker 2  Commodity      569       7         2/28/2021 9:45:59 PM
Broker 4  Commodity      569       7         2/28/2021 9:45:59 PM
Broker 2  Banking        103       8         2/28/2021 9:46:00 PM
Broker 3  Banking        103       8         2/28/2021 9:46:00 PM
Broker 4  Banking        103       8         2/28/2021 9:46:00 PM
Broker 2  Commodity      581       8         2/28/2021 9:46:00 PM
Broker 4  Commodity      581       8         2/28/2021 9:46:00 PM
Broker 2  Banking        105       9         2/28/2021 9:46:00 PM
Broker 3  Banking        105       9         2/28/2021 9:46:00 PM
Broker 4  Banking        105       9         2/28/2021 9:46:00 PM
Broker 2  Commodity      593       9         2/28/2021 9:46:00 PM
Broker 4  Commodity      593       9         2/28/2021 9:46:00 PM
Broker 1  Technology     178       10        2/28/2021 9:46:01 PM
Broker 2  Technology     178       10        2/28/2021 9:46:01 PM
Broker 3  Technology     178       10        2/28/2021 9:46:01 PM
Broker 4  Technology     178       10        2/28/2021 9:46:01 PM
Broker 2  Banking        105       10        2/28/2021 9:46:01 PM
Broker 3  Banking        105       10        2/28/2021 9:46:01 PM
Broker 4  Banking        105       10        2/28/2021 9:46:01 PM
Broker 2  Commodity      607       10        2/28/2021 9:46:01 PM
Broker 4  Commodity      607       10        2/28/2021 9:46:01 PM
Broker 1  Technology     178       11        2/28/2021 9:46:01 PM
Broker 2  Technology     178       11        2/28/2021 9:46:01 PM
Broker 3  Technology     178       11        2/28/2021 9:46:01 PM
Broker 4  Technology     178       11        2/28/2021 9:46:01 PM
Broker 2  Banking        105       11        2/28/2021 9:46:01 PM
Broker 3  Banking        105       11        2/28/2021 9:46:01 PM
Broker 4  Banking        105       11        2/28/2021 9:46:01 PM
Broker 2  Commodity      623       11        2/28/2021 9:46:01 PM
Broker 4  Commodity      623       11        2/28/2021 9:46:01 PM
Broker 1  Retail         37        12        2/28/2021 9:46:02 PM
Broker 4  Retail         37        12        2/28/2021 9:46:02 PM
Broker 1  Technology     180       12        2/28/2021 9:46:02 PM
Broker 2  Technology     180       12        2/28/2021 9:46:02 PM
Broker 3  Technology     180       12        2/28/2021 9:46:02 PM
Broker 4  Technology     180       12        2/28/2021 9:46:02 PM
Broker 2  Banking        106       12        2/28/2021 9:46:02 PM
Broker 3  Banking        106       12        2/28/2021 9:46:02 PM
Broker 4  Banking        106       12        2/28/2021 9:46:02 PM
Broker 2  Commodity      636       12        2/28/2021 9:46:02 PM
Broker 4  Commodity      636       12        2/28/2021 9:46:02 PM
Broker 1  Retail         37        13        2/28/2021 9:46:02 PM
Broker 4  Retail         37        13        2/28/2021 9:46:02 PM
Broker 1  Technology     182       13        2/28/2021 9:46:02 PM
Broker 2  Technology     182       13        2/28/2021 9:46:02 PM
Broker 3  Technology     182       13        2/28/2021 9:46:02 PM
Broker 4  Technology     182       13        2/28/2021 9:46:02 PM
Broker 2  Banking        106       13        2/28/2021 9:46:02 PM
Broker 3  Banking        106       13        2/28/2021 9:46:02 PM
Broker 4  Banking        106       13        2/28/2021 9:46:02 PM
Broker 2  Commodity      651       13        2/28/2021 9:46:02 PM
Broker 4  Commodity      651       13        2/28/2021 9:46:02 PM
Broker 1  Retail         38        14        2/28/2021 9:46:03 PM
Broker 4  Retail         38        14        2/28/2021 9:46:03 PM
Broker 1  Technology     186       14        2/28/2021 9:46:03 PM
Broker 2  Technology     186       14        2/28/2021 9:46:03 PM
Broker 3  Technology     186       14        2/28/2021 9:46:03 PM
Broker 4  Technology     186       14        2/28/2021 9:46:03 PM
Broker 2  Banking        107       14        2/28/2021 9:46:03 PM
Broker 3  Banking        107       14        2/28/2021 9:46:03 PM
Broker 4  Banking        107       14        2/28/2021 9:46:03 PM
Broker 2  Commodity      660       14        2/28/2021 9:46:03 PM
Broker 4  Commodity      660       14        2/28/2021 9:46:03 PM
Broker 1  Retail         38        15        2/28/2021 9:46:03 PM
Broker 4  Retail         38        15        2/28/2021 9:46:03 PM
Broker 1  Technology     188       15        2/28/2021 9:46:03 PM
Broker 2  Technology     188       15        2/28/2021 9:46:03 PM
Broker 3  Technology     188       15        2/28/2021 9:46:03 PM
Broker 4  Technology     188       15        2/28/2021 9:46:03 PM
Broker 2  Banking        108       15        2/28/2021 9:46:03 PM
Broker 3  Banking        108       15        2/28/2021 9:46:03 PM
Broker 4  Banking        108       15        2/28/2021 9:46:03 PM
Broker 2  Commodity      674       15        2/28/2021 9:46:03 PM
